0, 1169, 6.5
0, 296, 14.0
0, 719, 20.5
2, 552, 25.0
2, 1551, 22.5
2, 2, 259.5
2, 952, 8.5
2, 1247, 2.5
3, 414, 3.5
3, 1186, 1.0
3, 797, 12.0
3, 1675, 5.0
3, 1056, 20.0
3, 3, 242.5
4, 484, 11.0
4, 1247, 6.5
4, 1515, 22.0
4, 1563, 23.0
4, 4, 314.0
4, 499, 4.5
4, 1005, 11.5
4, 1151, 23.5
4, 1927, 11.0
5, 406, 14.5
5, 612, 21.0
5, 1420, 25.5
5, 5, 287.0
5, 141, 20.0
5, 1175, 2.0
5, 1181, 3.0
6, 624, 15.5
6, 714, 14.0
6, 437, 22.0
6, 6, 320.0
6, 686, 8.0
6, 1696, 14.0
6, 1811, 20.0
6, 1901, 25.5
7, 1730, 7.0
7, 823, 20.5
7, 1765, 21.5
7, 756, 20.0
7, 870, 3.5
7, 7, 276.5
7, 1915, 3.0
8, 1282, 6.5
8, 685, 23.5
8, 8, 297.0
8, 284, 21.5
8, 31, 23.0
8, 421, 15.5
8, 719, 6.0
9, 1568, 16.0
9, 1938, 12.5
9, 1966, 15.5
9, 1484, 17.5
9, 9, 267.0
9, 589, 1.0
9, 1639, 3.5
10, 518, 12.0
10, 1864, 17.5
10, 2010, 1.0
10, 1121, 17.5
10, 10, 307.5
10, 145, 17.0
10, 541, 7.0
10, 851, 14.0
10, 857, 20.5
12, 417, 19.0
12, 12, 225.5
12, 1740, 5.5
13, 414, 13.0
13, 709, 17.0
13, 1443, 23.5
13, 13, 295.0
13, 315, 22.0
13, 1803, 18.5
14, 119, 15.5
14, 681, 7.0
14, 951, 17.0
14, 1101, 16.5
14, 14, 275.0
14, 903, 1.0
14, 1677, 17.0
16, 1374, 20.5
16, 1666, 2.0
16, 1215, 12.0
16, 16, 255.0
16, 466, 2.5
16, 900, 4.5
16, 1903, 10.0
16, 1949, 2.5
18, 384, 14.0
18, 724, 12.5
18, 1137, 8.5
18, 18, 290.5
18, 638, 8.0
18, 1124, 19.5
18, 1292, 22.0
18, 763, 5.0
20, 1360, 3.0
20, 677, 8.0
20, 889, 16.5
20, 1643, 17.5
20, 20, 253.5
20, 921, 7.5
21, 1308, 17.0
